Ticker, Time stamp, Value
SLKU, 02/08/4123 09:52:19:14, 67.3169658877909
OSBO, 02/08/4123 13:55:40:05, 289.5508171841965
VVFB, 02/08/4123 15:59:26:63, 394.7963417493674
TKYI, 02/08/4123 14:13:44:43, 56.27503467541574
QKKQ, 02/08/4123 11:04:35:17, 403.173410664398
QVSF, 02/08/4123 16:45:29:28, 581.9309084372856
UWBI, 02/08/4123 15:17:49:89, 348.37803535845273
YJMG, 02/08/4123 09:45:50:55, 601.0402344790524
YPKC, 02/08/4123 11:53:18:56, 570.9722614653837
CDJC, 02/08/4123 15:56:18:68, 30.611554204372794
IQUU, 02/08/4123 14:55:18:26, 492.3478572793364
QQOL, 02/08/4123 11:54:18:00, 219.63249248721476
EMFE, 02/08/4123 10:26:10:19, 459.0233101290829
AIAR, 02/08/4123 15:50:56:32, 299.76469507046477
LRFR, 02/08/4123 11:21:16:61, 110.08242714138181
QNZL, 02/08/4123 17:07:01:30, 54.05080239010682
AMRH, 02/08/4123 17:52:59:40, 55.762259998959436
OUQZ, 02/08/4123 16:57:45:08, 76.23789295129264
MLYL, 02/08/4123 13:59:40:84, 375.45303371397796
BYOT, 02/08/4123 11:40:36:06, 31.806041988322793
EHFK, 02/08/4123 13:08:14:59, 90.11654473982999
PJXI, 02/08/4123 16:43:44:87, 830.0965960362145
JSNZ, 02/08/4123 17:18:20:41, 153.79413209384572
ZBRR, 02/08/4123 17:01:30:91, 306.37891554850233
DKFN, 02/08/4123 10:30:47:83, 119.52563015555806
YOMH, 02/08/4123 11:41:24:92, 138.23884252478155
RXPB, 02/08/4123 14:20:40:61, 155.82765233826674
XTNX, 02/08/4123 15:39:03:33, 58.87856903332663
NNNZ, 02/08/4123 09:09:43:45, 152.76451479586595
YIWF, 02/08/4123 14:33:15:72, 150.86854373828126
TVSP, 02/08/4123 16:43:38:45, 1.474550760414027
MYKI, 02/08/4123 15:26:13:75, 241.64276830413615
BNMV, 02/08/4123 10:55:09:39, 27.130912516150065
FZMB, 02/08/4123 13:38:59:54, 304.626814413719
VPSE, 02/08/4123 17:34:20:09, 35.035768557773274
